Symbol,Description,"Total revenue, Trailing 12 months","Total revenue, Trailing 12 months - Currency","Revenue growth %, TTM YoY","Gross profit, Trailing 12 months","Gross profit, Trailing 12 months - Currency","Operating income, Trailing 12 months","Operating income, Trailing 12 months - Currency","Net income, Trailing 12 months","Net income, Trailing 12 months - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY"
ABT,Abbott Laboratories,40725000000,USD,1.2404912245811200,20619000000,USD,6613000000,USD,5536000000,USD,9860000000,USD,3.1683,USD,7.974644719353850
DHR,Danaher Corporation,24817000000,USD,-18.246804585584400,14694000000,USD,5332000000,USD,4203000000,USD,7545000000,USD,5.6349,USD,-33.63366546533810
WFC,Wells Fargo & Company,122757000000,USD,1.5477391922968700,,,22700000000,USD,18742000000,USD,,,4.8738,USD,
QCOM,QUALCOMM Incorporated,37348000000,USD,-3.2059090320072600,20876000000,USD,9524000000,USD,8711000000,USD,11253000000,USD,7.7146,USD,1.0650701531447700
TXN,Texas Instruments Incorporated,16092000000,USD,-14.499760905371700,9552000000,USD,5835000000,USD,5285000000,USD,7235000000,USD,5.7649,USD,-30.815111729832200
GE,GE Aerospace,61921000000,USD,-14.083334489600500,17618000000,USD,5776000000,USD,4730000000,USD,7466000000,USD,4.2137,USD,-48.6178009194337
IBM,International Business Machines Corporation,62365000000,USD,3.04176855462296,34329000000,USD,10912000000,USD,8431000000,USD,15443000000,USD,9.0728,USD,320.71875724553700
AXP,American Express Company,71146000000,USD,14.417587365915600,43950000000,USD,14306000000,USD,9762000000,USD,21175000000,USD,13.4044,USD,36.25681060421240
AMGN,Amgen Inc.,30736000000,USD,16.676156853813200,19382000000,USD,6496000000,USD,3130000000,USD,11570000000,USD,5.8041,USD,-60.862440997977100
INTU,Intuit Inc.,16285000000,USD,13.342149220490000,13077000000,USD,3853000000,USD,2963000000,USD,4642000000,USD,10.4351,USD,23.84993353589060
VZ,Verizon Communications Inc.,134243000000,USD,-0.5607407407407410,62406000000,USD,29472000000,USD,11252000000,USD,47347000000,USD,2.6665,USD,-46.64759198863520
BX,Blackstone Inc.,10531162000,USD,1.878241750417530,10446266000,USD,4837218000,USD,1995594000,USD,4873201000,USD,2.6207,USD,57.72147327876740
ISRG,"Intuitive Surgical, Inc.",7572500000,USD,13.6244279390802,5062700000,USD,1952700000,USD,2093700000.0000000,USD,2396400000,USD,5.8239,USD,46.16021683481400
NOW,"ServiceNow, Inc.",9955000000,USD,24.17363103405260,7871000000,USD,1073000000,USD,1146000000,USD,1535000000,USD,5.5299,USD,-20.44568485563440
CAT,"Caterpillar, Inc.",66368000000,USD,2.4656096092387000,23903000000,USD,13974000000,USD,11007000000,USD,16099000000,USD,21.9534,USD,36.57368237694720
MS,Morgan Stanley,102756000000,USD,23.449908093756400,,,13603000000,USD,10413000000,USD,,,6.074,USD,
NEE,"NextEra Energy, Inc.",24470000000,USD,7.513181019332160,8600000000,USD,6312000000,USD,6319000000,USD,12478000000,USD,3.0794,USD,-23.773454131392600
